id,name,name_scientific,description,itis_id,wikipedia_id,picture_file_name,picture_content_type,picture_file_size,picture_updated_at,legacy_id,food_group,food_subgroup,food_type,created_at,updated_at,creator_id,updater_id,export_to_afcdb,category,ncbi_taxonomy_id,export_to_foodb,public_id,allergen_code,allergen_rating,allergens_detected,allergen_category
93,Black walnut,Juglans nigra,"Juglans nigra, the eastern black walnut, a species of flowering tree in the walnut family, Juglandaceae, is native to eastern North America. It grows mostly in riparian zones, from southern Ontario, west to southeast South Dakota, south to Georgia, northern Florida and southwest to central Texas. Isolated wild trees in the upper Ottawa Valley may be an isolated native population or may have derived from planted trees.
Black walnut nuts are shelled commercially in the United States. The nutmeats provide a robust, distinctive, natural flavor and crunch as a food ingredient. Popular uses include ice cream, bakery goods and confections. Consumers include black walnuts in traditional treats, such as cakes, cookies, fudge, and pies, during the fall holiday season. The nuts' nutritional profile leads to uses in other foods, such as salads, fish, pork, chicken, vegetables and pasta dishes.",19254.0,Black_walnut,93.jpg,image/jpeg,80754.0,2012-04-20 09:28:57 UTC,100.0,Nuts,Nuts,Type 1,2011-02-09 00:37:20 UTC,2019-05-14 18:04:16 UTC,,,False,specific,16719.0,True,FOOD00093,tree_nuts,100,tree_nuts,Nuts
94,Common walnut,Juglans regia,"Juglans regia, the Persian walnut, English walnut, or especially in Great Britain, common walnut, is an Old World walnut tree species native to the region stretching from the Balkans eastward to the Himalayas and southwest China. The largest forests are in Kyrgyzstan, where trees occur in extensive, nearly pure walnut forests at 1,000–2,000 m altitude—notably at Arslanbob in Jalal-Abad Province.",503244.0,Juglans regia,94.jpg,image/jpeg,76420.0,2012-04-20 09:37:01 UTC,101.0,Nuts,Nuts,Type 1,2011-02-09 00:37:20 UTC,2019-05-14 18:04:16 UTC,,,False,specific,51240.0,True,FOOD00094,tree_nuts,100,tree_nuts,Nuts
104,Lupine,Lupinus,"Lupinus, commonly known as lupin or lupine (North America), is a genus of flowering plants in the legume family, Fabaceae. The genus includes over 200 species, with centers of diversity in North and South America. Smaller centers occur in North Africa and the Mediterranean. Seeds of various species of lupins have been used as a food for over 3000 years around the Mediterrranean (Gladstones, 1970) and for as much as 6000 years in the Andean highlands (Uauy et al., 1995), but never have they been accorded the same status as soybeans or dry peas and other pulse crops. The pearl lupin of the Andean highlands of South America, Lupinus mutabilis, known locally as tarwi or chocho, was extensively cultivated, but there seems to have been no conscious genetic improvement other than to select for larger and water-permeable seeds. Users soaked the seed in running water to remove most of the bitter alkaloids and then cooked or toasted the seeds to make them edible (Hill, 1977; Aguilera and Truer, 1978), or else boiled and dried them to make kirku (Uauy et al., 1995). However, Spanish domination led to a change in the eating habits of the indigenous peoples, and only recently has interest in using lupins as a food been renewed (Hill, 1977).",25916.0,Lupin,104.jpg,image/jpeg,254355.0,2012-04-20 09:28:54 UTC,111.0,Pulses,Other pulses,Type 1,2011-02-09 00:37:20 UTC,2019-05-14 18:04:16 UTC,,,False,specific,3869.0,True,FOOD00104,lupin,100,lupin,Lupin
138,Pine nut,Pinus,"Pine nuts are the edible seeds of pines (family Pinaceae, genus Pinus). About 20 species of pine produce seeds large enough to be worth harvesting; in other pines the seeds are also edible, but are too small to be of great value as a human food.",18035.0,Pine nut,138.jpg,image/jpeg,69791.0,2012-04-20 09:38:13 UTC,146.0,Nuts,Nuts,Type 1,2011-02-09 00:37:22 UTC,2019-05-14 18:04:17 UTC,,,False,specific,3337.0,True,FOOD00138,tree_nuts,100,tree_nuts,Nuts
140,Pistachio,Pistacia vera,"The pistachio, Pistacia vera in the Anacardiaceae family, is a small tree originally from Greater Iran which now can also be found in regions of Syria, Lebanon, Turkey, Greece, Tunisia, Kyrgyzstan, Tajikistan, Turkmenistan, India, Pakistan, Egypt, Italy, Uzbekistan, Afghanistan (especially in the provinces of Samangan and Badghis), and the United States, specifically in California. The tree produces an important culinary nut. Pistacia vera often is confused with other species in the genus Pistacia that are also known as pistachio. These species can be distinguished from P. vera by their geographic distributions (in the wild) and their nuts which are much smaller, have a strong flavor of turpentine, and have a shell that is not hard.",506470.0,Pistachio,140.jpg,image/jpeg,83025.0,2012-04-20 09:30:19 UTC,148.0,Nuts,Nuts,Type 1,2011-02-09 00:37:22 UTC,2019-05-14 18:04:17 UTC,,,False,specific,55513.0,True,FOOD00140,tree_nuts,100,tree_nuts,Nuts
148,Almond,Prunus dulcis,"The almond (Prunus dulcis, syn. Prunus amygdalus, Amygdalus communis, Amygdalus dulcis) (or badam in Indian English, from Persian:  بادام ) is a species of tree native to the Middle East and South Asia. ""Almond"" is also the name of the edible and widely cultivated seed of this tree. Within the genus Prunus, it is classified with the peach in the subgenus Amygdalus, distinguished from the other subgenera by the corrugated shell (endocarp) surrounding the seed.
The fruit of the almond is a drupe, consisting of an outer hull and a hard shell with the seed (which is not a true nut) inside. Shelling almonds refers to removing the shell to reveal the seed. Almonds are sold shelled (i.e., after the shells are removed), or unshelled (i.e., with the shells still attached). Blanched almonds are shelled almonds that have been treated with hot water to soften the seedcoat, which is then removed to reveal the white embryo.",24775.0,Prunus_dulcis,148.jpg,image/jpeg,14928.0,2012-04-20 09:29:53 UTC,157.0,Nuts,Nuts,Type 1,2011-02-09 00:37:22 UTC,2019-05-14 18:04:17 UTC,,,False,specific,3755.0,True,FOOD00148,tree_nuts,100,tree_nuts,Nuts
169,Rye,Secale cereale,"Rye (Secale cereale) is a grass grown extensively as a grain and as a forage crop. It is a member of the wheat tribe and is closely related to barley (Hordeum) and wheat (Triticum). Rye grain is used for flour, rye bread, rye beer, some whiskeys, some vodkas, and animal fodder. It can also be eaten whole, either as boiled rye berries, or by being rolled, similar to rolled oats. Rye is a cereal grain and should not be confused with ryegrass, which is used for lawns, pasture, and hay for livestock.",42090.0,Rye,169.jpg,image/jpeg,20894.0,2012-04-20 09:35:47 UTC,179.0,Cereals and cereal products,Cereals,Type 1,2011-02-09 00:37:24 UTC,2019-05-14 18:04:18 UTC,,,True,specific,4550.0,True,FOOD00169,gluten,100,gluten,Cereals containing gluten
170,Sesame,Sesamum orientale,"Sesame is a flowering plant in the genus Sesamum. Numerous wild relatives occur in Africa and a smaller number in India. It is widely naturalized in tropical regions around the world and is cultivated for its edible seeds, which grow in pods. Sesame seed is considered to be the oldest oilseed crop known, domesticated well over 5000 years ago. Sesame is very drought-tolerant. It has been called a survivor crop, with an ability to grow where most crops fail. Sesame has one of the highest oil contents of any seed. With a rich nutty flavor, it is a common ingredient in cuisines across the world. Sesame, like other nuts and foods, can trigger allergic reactions in some people. The world harvested about 3.84 million metric tonnes of sesame seeds in 2010. The largest producer of sesame seeds in 2010 was Burma. The world's largest exporter of sesame seeds was India, and Japan the largest importer.",505186.0,Sesame,170.jpg,image/jpeg,129804.0,2012-04-20 09:37:40 UTC,180.0,Herbs and Spices,Oilseed crops,Type 1,2011-02-09 00:37:24 UTC,2019-05-14 18:04:18 UTC,,,False,specific,4182.0,True,FOOD00170,sesame,100,sesame,Sesame seeds
187,Common wheat,Triticum aestivum,"Common wheat, Triticum aestivum (also known as bread wheat), is a cultivated wheat species.",42237.0,Common wheat,187.jpg,image/jpeg,121535.0,2012-04-20 09:37:50 UTC,198.0,Cereals and cereal products,Cereals,Type 1,2011-02-09 00:37:25 UTC,2019-05-14 18:04:18 UTC,,,False,specific,4565.0,True,FOOD00187,gluten,100,gluten,Cereals containing gluten
214,Celeriac,Apium graveolens var. rapaceum,"Celeriac (Apium graveolens var. rapaceum), also called turnip-rooted celery or knob celery, is a variety of celery cultivated for its edible roots, hypocotyl, and shoots; these are sometimes collectively (but erroneously) called celery root. Celeriac is a root vegetable with a bulbous hypocotyl. In the Mediterranean Basin and in Northern Europe, celeriac grows wild and is widely cultivated. It is also cultivated in North Africa, Siberia, Southwest Asia, and North America. In North America, the Diamant cultivar predominates. Celeriac originated in the Mediterranean Basin.",530941.0,Celeriac,214.jpg,image/jpeg,287967.0,2012-04-20 09:42:38 UTC,229.0,Vegetables,Root vegetables,Type 1,2011-02-09 00:37:26 UTC,2019-05-14 18:04:19 UTC,,,False,specific,278110.0,True,FOOD00214,celery,100,celery,Celery
215,Celery stalks,Apium graveolens var. dulce,"Celery (Apium graveolens var. dulce) is a plant variety in the family Apiaceae, commonly used as a vegetable. The plant grows to 1 m (3.3 ft) tall. The leaves are pinnate to bipinnate with rhombic leaflets 3?6 cm long and 2?4 cm broad. The flowers are creamy-white, 2?3 mm in diameter, and are produced in dense compound umbels. The seeds are broad ovoid to globose, 1.5?2 mm long and wide.
Celery is used around the world as a vegetable for the crisp petiole (leaf stalk). The leaves are strongly flavoured and are used less often, either as a flavouring in soups and stews or as a dried herb.",182185.0,Apium_graveolens,215.jpg,image/jpeg,95996.0,2012-04-20 09:43:06 UTC,230.0,Vegetables,Stalk vegetables,Type 1,2011-02-09 00:37:26 UTC,2019-05-14 18:04:19 UTC,,,False,specific,117781.0,True,FOOD00215,celery,100,celery,Celery
225,Macadamia nut (M. tetraphylla),Macadamia tetraphylla,"Macadamia tetraphylla is a tree in the Proteaceae family, native to southern Queensland and northern New South Wales in Australia. Common names include Macadamia Nut, Bauple Nut, Prickly Macadamia, Queensland Nut, Rough-shelled Bush Nut and Rough-shelled Queensland Nut This species has dense foliage and grows up to 18 metres in height. The leaves, which have toothed margins, are 7 to 25 cm in length. It has long, pendent creamy pink to purple flowers, followed by woody, rounded fruits which are 2 to 3 cm in diameter and contain edible seeds. It has been introduced to Mexico and has done well in the States of Michoacán and Jalisco and has become an important export crop for the Mexican market. Hawaii is the largest exporter of this crop worldwide.",506560.0,Macadamia tetraphylla,225.jpg,image/jpeg,54718.0,2012-04-20 09:30:48 UTC,240.0,Nuts,Nuts,Type 1,2011-02-09 00:37:27 UTC,2019-05-14 18:04:19 UTC,,,False,specific,512563.0,True,FOOD00225,tree_nuts,100,tree_nuts,Nuts
240,Japanese walnut,Juglans ailanthifolia,"Juglans ailantifolia (synonyms J. cordiformis and J. sieboldiana and J. mandshurica var. sachalinensis), the Japanese Walnut (is a species of walnut native to Japan and Sakhalin. It is a deciduous tree growing to 20 m tall, rarely 30 m, and 40–80 cm stem diameter, with light grey bark. The leaves are pinnate, 50–90 cm long, with 11-17 leaflets, each leaflet 7–16 cm long and 3–5 cm broad. The whole leaf is downy-pubescent, and a somewhat brighter, yellower green than many other tree leaves. The male flowers are inconspicuous yellow-green catkins produced in spring at the same time as the new leaves appear. The female flowers have pink/ red pistils. The fruit is a nut, produced in bunches of 4-10 together; the nut is spherical, 3–5 cm long and broad, surrounded by a green husk before maturity in mid autumn.",503241.0,Juglans ailantifolia,240.jpg,image/jpeg,6598.0,2012-04-20 09:33:33 UTC,255.0,Nuts,Nuts,Type 1,2011-02-09 00:37:28 UTC,2019-05-14 18:04:20 UTC,,,False,specific,91209.0,True,FOOD00240,tree_nuts,100,tree_nuts,Nuts
242,Hard wheat,Triticum durum,"Durum wheat or macaroni wheat (Triticum durum or Triticum turgidum subsp. durum) is the only tetraploid species of wheat of commercial importance that is widely cultivated today. It was developed by artificial selection of the domesticated emmer wheat (like emmer, durum wheat is awned) strains formerly grown in Central Europe and the Near East around 7000 BC, which developed a naked, free-threshing form. Durum in Latin means ""hard"", and the species is the hardest of all wheats. Its high protein content, as well as its strength, make durum good for special uses, the most well-known being pasta, which in Italy is exclusively made from durum wheat. Durum wheat is used extensively in breadmaking. However, it is unusual in that, despite very high protein content, it is low in desirable gluten needed to form a glutinous web necessary for bread to rise. As a result, although 100 percent durum wheat breads do exist, such as pagnotte di Enna or ""rimacinato"" bread from Sicily, as well as others, in most instances bread doughs contain only a portion of durum wheat and are supplemented substantially with commercial white flours, often those higher in gluten necessary to offset the poor gluten contribution of durum flour. When durum flour is used as the sole flour in bread, substantial additions of isolated wheat gluten are necessary to effect rising. Without it, 100 percent durum wheat breads are often heavy, with very close grain, and will split easily when risen for baking.",42240.0,Hard_wheat,242.jpg,image/jpeg,49577.0,2012-04-20 09:40:44 UTC,257.0,Cereals and cereal products,Cereals,Type 1,2011-02-09 00:37:28 UTC,2019-05-14 18:04:20 UTC,,,False,specific,4567.0,True,FOOD00242,gluten,100,gluten,Cereals containing gluten
246,Triticale,X Triticosecale rimpaui,"Triticale (× Triticosecale), is a hybrid of wheat (Triticum) and rye (Secale) first bred in laboratories during the late 19th century. The grain was originally bred in Scotland and Sweden. Commercially available triticale is almost always a second generation hybrid, i.e. , a cross between two kinds of primary (first cross) triticales. As a rule, triticale combines the yield potential and grain quality of wheat with the disease and environmental tolerance (including soil conditions) of rye. Only recently has it been developed into a commercially viable crop. Depending on the cultivar, triticale can more or less resemble either of its parents. It is grown mostly for forage or fodder, although some triticale-based foods can be purchased at health food stores or are to be found in some breakfast cereals. When crossing wheat and rye, wheat is used as the female parent and rye as the male parent (pollen donor). The resulting hybrid is sterile, and must be treated with colchicine to induce polyploidy and thus the ability to reproduce itself. The primary producers of triticale are Poland, Germany, France, Belarus and Australia. In 2009, according to the Food and Agriculture Organization (FAO), 15.0 million tons were harvested in 29 countries across the world. The triticale hybrids are all amphidiploid, which means the plant is diploid for two genomes derived from different species. In other words, triticale is an allotetraploid. In earlier years, most work was done on octoploid triticale. Different ploidy levels have been created and evaluated over time. The tetraploids showed little promise, but hexaploid triticale was successful enough to find commercial application. The CIMMYT triticale improvement program wanted to improve food production and nutrition in developing countries. Triticale has potential in the production of bread and other food products, such as cookies, pasta, pizza dough and breakfast cereals. The protein content is higher than that of wheat, although the glutenin fraction is less. The grain has also been stated to have higher levels of lysine than wheat. Assuming increased acceptance, the milling industry will have to adapt to triticale, as the milling techniques employed for wheat are unsuited to triticale. Sell et al. found triticale could be used as a feed grain, and later research found its starch was particularly readily digested. As a feed grain, triticale is already well established and of high economic importance. It has received attention as a potential energy crop, and research is currently being conducted on the use of the crop's biomass in bioethanol production.",506625.0,Triticale,246.jpg,image/jpeg,153276.0,2012-04-20 09:43:10 UTC,261.0,Cereals and cereal products,Cereals,Type 1,2011-02-09 00:37:28 UTC,2019-05-14 18:04:20 UTC,,,False,specific,,True,FOOD00246,gluten,100,gluten,Cereals containing gluten
249,Celery leaves,Apium graveolens var. secalinum,"Chinese celery (Apium graveolens var. secalinum), is a variety of celery cultivated in East Asian countries for its edible, flavorful stalks and leaves. The stems are thinner than those of regular celery, and curved into round, hollow stalks. Also, unlike with regular celery, the leaves are used as much as the stalks.",,Apium_graveolens_var._secalinum,249.jpg,image/jpeg,182470.0,2012-04-20 09:42:20 UTC,266.0,Herbs and Spices,Herbs,Type 1,2011-02-09 00:37:28 UTC,2019-05-14 18:04:20 UTC,,,False,specific,941588.0,True,FOOD00249,celery,100,celery,Celery
272,Other soy product,,,,,272.jpg,image/jpeg,41524.0,2012-04-20 09:30:20 UTC,293.0,Soy,Soy products,Type 2,2011-02-09 00:37:29 UTC,2019-05-14 18:04:21 UTC,,2.0,False,specific,,False,FOOD00271,soy,100,soy,Soybeans
280,Abalone,Haliotis,"Abalone, is a common name for any of a group of small to very large edible sea snails, marine gastropod molluscs in the family Haliotidae. Other common names are ear shells, sea ears, as well as muttonfish or muttonshells in Australia, ormer in Great Britain, perlemoen and venus's-ears in South Africa in New Zealand. The family Haliotidae contains only one genus, Haliotis. That genus contains about four to seven subgenera. The number of species recognized worldwide ranges between 30 and 130 with over 230 species-level taxa described. The most comprehensive treatment of the family considers 56 species valid, with 18 additional subspecies. The shells of abalones have a low and open spiral structure, and are characterized by several open respiratory pores in a row near the shell's outer edge. The thick inner layer of the shell is composed of nacre or mother-of-pearl, which in many species is highly iridescent, giving rise to a range of strong and changeable colors, which make the shells attractive to humans as decorative objects, jewelry, and as a source of colorful mother-of-pearl. The flesh of abalones is widely considered to be a desirable food, and is consumed raw or cooked in a variety of different dishes.",69493.0,Abalone,280.jpg,image/jpeg,99231.0,2012-04-20 09:41:13 UTC,307.0,Aquatic foods,Mollusks,Type 1,2011-02-09 00:37:30 UTC,2019-05-14 18:04:21 UTC,,,False,specific,6452.0,True,FOOD00279,molluscs,100,molluscs,Molluscs
286,Red king crab,Paralithodes camtschaticus,"The red king crab, Paralithodes camtschaticus, is a species of king crab native to the Bering Sea. It grows to a leg span of 1.8 m, and is heavily targeted by fisheries. Red king crabs can be very large, sometimes reaching a carapace width of 28 cm (11 in) and a leg span of 1.8 m (5.9 ft). It was named after the color it turns when it is cooked rather than the color of a living animal, which tends to be more burgundy. The king crab is native to the Bering Sea, north Pacific Ocean, around the Kamchatka Peninsula and neighboring Alaskan waters.",97935.0,Paralithodes camtschaticus,286.jpg,image/jpeg,81345.0,2012-04-20 09:39:07 UTC,313.0,Aquatic foods,Crustaceans,Type 1,2011-02-09 00:37:30 UTC,2019-05-14 18:04:21 UTC,,,False,specific,6741.0,True,FOOD00285,crustaceans,100,crustaceans,Crustaceans
293,Atlantic herring,Clupea harengus harengus,"Atlantic herring (Clupea harengus) is a herring in the family Clupeidae. It is one of the most abundant fish species on earth. Atlantic herrings can be found on both sides of the Atlantic Ocean, congregating in large schools. They can grow up to 45 centimetres in length and weigh more than 0.5 kilograms . They feed on copepods, krill and small fish, while their natural predators are seals, whales, cod and other larger fish. The Atlantic herring fishery has long been an important part of the economy of New England and the Canadian Maritime provinces. This is because the fish congregate relatively near to the coast in massive schools, notably in the cold waters of the semi-enclosed Gulf of Maine and Gulf of St. Lawrence. North Atlantic herring schools have been measured up to 4 cubic kilometres in size, containing an estimated 4 billion fish.",161724.0,Atlantic herring,293.jpg,image/jpeg,10362.0,2012-04-20 09:34:09 UTC,320.0,Aquatic foods,Fishes,Type 1,2011-02-09 00:37:30 UTC,2019-05-14 18:04:22 UTC,,,False,specific,7950.0,True,FOOD00292,fish,100,fish,Fish
294,Atlantic mackerel,Scomber scombrus,"The Atlantic mackerel (Scomber scombrus), is a pelagic schooling species of mackerel found on both sides of the North Atlantic Ocean. The species is also called Boston mackerel, or just mackerel. The Atlantic Mackerel is by far the most common of the ten species of the family that are caught in British waters. It is extremely common in huge shoals migrating towards the coast to feed on small fish and prawns during the summer. Abundant in cold and temperate shelf areas, it forms large schools near the surface. They overwinter in deeper waters but move closer to shore in spring when water temperatures range between 11–14 °C (52–57 °F). In north-east Atlantic: North Sea (east) and British Isles (west). The North Sea stock decreased dramatically in the 1960s because of direct overfishing. Male and female Atlantic mackerel grow at about the same rate, reaching a maximum age of about 20 years and a maximum fork length of about 47 centimetres . Most Atlantic mackerel are sexually mature by the age of three years.",172414.0,Atlantic mackerel,294.jpg,image/jpeg,60948.0,2012-04-20 09:36:52 UTC,321.0,Aquatic foods,Fishes,Type 1,2011-02-09 00:37:30 UTC,2019-05-14 18:04:22 UTC,,,False,specific,13677.0,True,FOOD00293,fish,100,fish,Fish
296,Atlantic pollock,Pollachius pollachius,"Pollachius pollachius is a species of marine fish in the Pollachius genus. FAO uses English name pollack for this species. Together with Pollachius virens, it may also be referred to as pollock. Other names include European pollock, lieu jaune, and lythe. It is common in the north-eastern parts of the Northern Atlantic, including the Bay of Biscay and North Sea. Adults can grow up to 130 centimetres and weigh up to 18.1 kilograms, although more commonly their maximum length is 75 centimetres .",164728.0,Pollachius pollachius,296.jpg,image/jpeg,134723.0,2012-04-20 09:41:08 UTC,323.0,Aquatic foods,Fishes,Type 1,2011-02-09 00:37:31 UTC,2019-05-14 18:04:22 UTC,,,False,specific,185739.0,True,FOOD00295,fish,100,fish,Fish
299,Striped bass,Morone saxatilis,"The striped bass (Morone saxatilis), also called Atlantic striped bass, striper, linesider, rock, pimpfish, or rockfish, is the state fish of Maryland, Rhode Island, South Carolina, and the state saltwater (marine) fish of New York, New Jersey, Virginia, and New Hampshire. They are also found in the Minas Basin and Gaspereau River in Nova Scotia, Canada.",167680.0,Striped bass,299.jpg,image/jpeg,36282.0,2012-04-20 09:34:02 UTC,326.0,Aquatic foods,Fishes,Type 1,2011-02-09 00:37:31 UTC,2019-05-14 18:04:22 UTC,,,False,specific,34816.0,True,FOOD00298,fish,100,fish,Fish
